Multiplex ID,Library ID,SampleID,Location,Country,Species,Age (Years),Age Binned (Years),Average LE (mm),GPS,Control
MUX8117,ABB216 ,Ku_Po_01,Kusu,Singapore,P lutea,53,51 to 60,19,1.224963N 103.861880E,FALSE
MUX8117,ABB217 ,Ku_Po_02,Kusu,Singapore,P lutea,21,21 to 30,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB218 ,Ku_Po_03,Kusu,Singapore,P lutea,40,31 to 40,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB219 ,Ku_Po_04,Kusu,Singapore,P lutea,10,10 to 20,18,1.224963N 103.861880E,FALSE
MUX8117,ABB220 ,Ku_Po_05,Kusu,Singapore,P lutea,103,101 to 110,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB221 ,Ku_Po_06,Kusu,Singapore,P lutea,20,10 to 20,9,1.224963N 103.861880E,FALSE
MUX8117,ABB222 ,Ku_Po_07,Kusu,Singapore,P lutea,44,41 to 50,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB223 ,Ku_Po_08,Kusu,Singapore,P lutea,13,10 to 20,15,1.224963N 103.861880E,FALSE
MUX8117,ABB224 ,Ku_Po_09,Kusu,Singapore,P lutea,66,61 to 70,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB225 ,Ku_Po_10,Kusu,Singapore,P lutea,40,31 to 40,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB226 ,Ku_Po_11,Kusu,Singapore,P lutea,38,31 to 40,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB227 ,Ku_Po_12,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB228 ,Ku_Po_13,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB229 ,Ku_Po_14,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB230 ,Ku_Po_15,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB231 ,Ku_Po_16,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB232 ,Ku_Po_17,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB233 ,Ku_Po_18,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB234 ,Ku_Po_19,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB235 ,Ku_Po_20,Kusu,Singapore,P lutea,NA,NA,NA,1.224963N 103.861880E,FALSE
MUX8117,ABB236 ,RL_Po_01,Raffles Lighthouse,Singapore,P lutea,39,31 to 40,10,1.160165N 103.740344E,FALSE
MUX8117,ABB237 ,RL_Po_02,Raffles Lighthouse,Singapore,P lutea,22,21 to 30,14,1.160165N 103.740344E,FALSE
MUX8117,ABB238 ,RL_Po_03,Raffles Lighthouse,Singapore,P lutea,58,51 to 60,9,1.160165N 103.740344E,FALSE
MUX8117,ABB239 ,RL_Po_04,Raffles Lighthouse,Singapore,P lutea,45,41 to 50,16,1.160165N 103.740344E,FALSE
MUX8117,ABB240 ,RL_Po_05,Raffles Lighthouse,Singapore,P lutea,21,21 to 30,19,1.160165N 103.740344E,FALSE
MUX8117,ABB241 ,RL_Po_06,Raffles Lighthouse,Singapore,P lutea,49,41 to 50,14,1.160165N 103.740344E,FALSE
MUX8117,ABB242 ,RL_Po_07,Raffles Lighthouse,Singapore,P lutea,25,21 to 30,16,1.160165N 103.740344E,FALSE
MUX8117,ABB243 ,RL_Po_08,Raffles Lighthouse,Singapore,P lutea,25,21 to 30,16,1.160165N 103.740344E,FALSE
MUX8117,ABB244 ,RL_Po_09,Raffles Lighthouse,Singapore,P lutea,39,31 to 40,16,1.160165N 103.740344E,FALSE
MUX8117,ABB245 ,RL_Po_10,Raffles Lighthouse,Singapore,P lutea,16,10 to 20,19,1.160165N 103.740344E,FALSE
MUX8117,ABB246 ,RL_Po_11,Raffles Lighthouse,Singapore,P lutea,15,10 to 20,13,1.160165N 103.740344E,FALSE
MUX8117,ABB247 ,RL_Po_12,Raffles Lighthouse,Singapore,P lutea,30,21 to 30,13,1.160165N 103.740344E,FALSE
MUX8117,ABB248 ,RL_Po_13,Raffles Lighthouse,Singapore,P lutea,29,21 to 30,15,1.160165N 103.740344E,FALSE
MUX8117,ABB249 ,RL_Po_14,Raffles Lighthouse,Singapore,P lutea,29,21 to 30,14,1.160165N 103.740344E,FALSE
MUX8117,ABB250 ,RL_Po_15,Raffles Lighthouse,Singapore,P lutea,30,21 to 30,13,1.160165N 103.740344E,FALSE
MUX8117,ABB251 ,RL_Po_16,Raffles Lighthouse,Singapore,P lutea,26,21 to 30,12,1.160165N 103.740344E,FALSE
MUX8117,ABB252 ,RL_Po_17,Raffles Lighthouse,Singapore,P lutea,47,41 to 50,17,1.160165N 103.740344E,FALSE
MUX8117,ABB253 ,RL_Po_18,Raffles Lighthouse,Singapore,P lutea,14,10 to 20,21,1.160165N 103.740344E,FALSE
MUX8117,ABB254 ,RL_Po_19,Raffles Lighthouse,Singapore,P lutea,29,21 to 30,12,1.160165N 103.740344E,FALSE
MUX8117,ABB255 ,RL_Po_20,Raffles Lighthouse,Singapore,P lutea,19,10 to 20,15,1.160165N 103.740344E,FALSE
MUX8117,ABB256 ,Se_Po_01,Semakau,Singapore,P lutea,56,51 to 60,18,1.200136N 103.755956E,FALSE
MUX8117,ABB257 ,Se_Po_02,Semakau,Singapore,P lutea,42,41 to 50,14,1.200136N 103.755956E,FALSE
MUX8117,ABB258 ,Se_Po_03,Semakau,Singapore,P lutea,45,41 to 50,11,1.200136N 103.755956E,FALSE
MUX8117,ABB259 ,Se_Po_04,Semakau,Singapore,P lutea,34,31 to 40,21,1.200136N 103.755956E,FALSE
MUX8117,ABB260 ,Se_Po_05,Semakau,Singapore,P lutea,45,41 to 50,18,1.200136N 103.755956E,FALSE
MUX8117,ABB261 ,Se_Po_06,Semakau,Singapore,P lutea,27,21 to 30,11,1.200136N 103.755956E,FALSE
MUX8117,ABB262 ,Se_Po_07,Semakau,Singapore,P lutea,59,51 to 60,17,1.200136N 103.755956E,FALSE
MUX8117,ABB263 ,Se_Po_08,Semakau,Singapore,P lutea,45,41 to 50,22,1.200136N 103.755956E,FALSE
MUX8117,ABB264 ,Se_Po_09,Semakau,Singapore,P lutea,24,21 to 30,17,1.200136N 103.755956E,FALSE
MUX8117,ABB265 ,Se_Po_10,Semakau,Singapore,P lutea,42,41 to 50,12,1.200136N 103.755956E,FALSE
MUX8117,ABB266 ,Se_Po_11,Semakau,Singapore,P lutea,29,21 to 30,17,1.200136N 103.755956E,FALSE
