Library ID,Location,CoralAge,GPS,Genotype,LAT,LON,Richness,ReadCount
ABB216,Kusu,53,1.224963N 103.861880E,A,1.224963,103.86188,118,17580
ABB217,Kusu,21,1.224963N 103.861880E,B,1.224963,103.86188,24,4576
ABB218,Kusu,40,1.224963N 103.861880E,B,1.224963,103.86188,65,16256
ABB219,Kusu,10,1.224963N 103.861880E,B,1.224963,103.86188,40,9142
ABB220,Kusu,103,1.224963N 103.861880E,B,1.224963,103.86188,40,6419
ABB221,Kusu,20,1.224963N 103.861880E,B,1.224963,103.86188,124,20037
ABB222,Kusu,44,1.224963N 103.861880E,B,1.224963,103.86188,89,31778
ABB223,Kusu,13,1.224963N 103.861880E,A,1.224963,103.86188,216,52883
ABB224,Kusu,66,1.224963N 103.861880E,B,1.224963,103.86188,37,3490
ABB225,Kusu,40,1.224963N 103.861880E,A,1.224963,103.86188,46,1889
ABB226,Kusu,38,1.224963N 103.861880E,B,1.224963,103.86188,48,14076
ABB227,Kusu,NA,1.224963N 103.861880E,NA,1.224963,103.86188,53,18902
ABB228,Kusu,NA,1.224963N 103.861880E,NA,1.224963,103.86188,64,54809
ABB229,Kusu,NA,1.224963N 103.861880E,A,1.224963,103.86188,49,7460
ABB230,Kusu,NA,1.224963N 103.861880E,B,1.224963,103.86188,251,14249
ABB231,Kusu,NA,1.224963N 103.861880E,B,1.224963,103.86188,115,8806
ABB232,Kusu,NA,1.224963N 103.861880E,B,1.224963,103.86188,55,34208
ABB233,Kusu,NA,1.224963N 103.861880E,B,1.224963,103.86188,23,1700
ABB234,Kusu,NA,1.224963N 103.861880E,B,1.224963,103.86188,53,14413
ABB235,Kusu,NA,1.224963N 103.861880E,NA,1.224963,103.86188,195,9643
ABB236,Raffles Lighthouse,39,1.160165N 103.740344E,B,1.160165,103.740344,71,49692
ABB237,Raffles Lighthouse,22,1.160165N 103.740344E,NA,1.160165,103.740344,29,6297
ABB238,Raffles Lighthouse,58,1.160165N 103.740344E,A,1.160165,103.740344,85,26230
ABB239,Raffles Lighthouse,45,1.160165N 103.740344E,A,1.160165,103.740344,70,21693
ABB240,Raffles Lighthouse,21,1.160165N 103.740344E,B,1.160165,103.740344,24,2719
ABB241,Raffles Lighthouse,49,1.160165N 103.740344E,B,1.160165,103.740344,121,10933
ABB242,Raffles Lighthouse,25,1.160165N 103.740344E,B,1.160165,103.740344,161,7573
ABB243,Raffles Lighthouse,25,1.160165N 103.740344E,B,1.160165,103.740344,66,10750
ABB244,Raffles Lighthouse,39,1.160165N 103.740344E,B,1.160165,103.740344,43,2278
ABB245,Raffles Lighthouse,16,1.160165N 103.740344E,A,1.160165,103.740344,18,5237
ABB246,Raffles Lighthouse,15,1.160165N 103.740344E,A,1.160165,103.740344,37,5192
ABB247,Raffles Lighthouse,30,1.160165N 103.740344E,B,1.160165,103.740344,19,3507
ABB248,Raffles Lighthouse,29,1.160165N 103.740344E,A,1.160165,103.740344,31,4172
ABB249,Raffles Lighthouse,29,1.160165N 103.740344E,B,1.160165,103.740344,46,2138
ABB250,Raffles Lighthouse,30,1.160165N 103.740344E,B,1.160165,103.740344,38,5644
ABB251,Raffles Lighthouse,26,1.160165N 103.740344E,B,1.160165,103.740344,36,15610
ABB252,Raffles Lighthouse,47,1.160165N 103.740344E,NA,1.160165,103.740344,32,1349
ABB253,Raffles Lighthouse,14,1.160165N 103.740344E,A,1.160165,103.740344,57,3056
ABB254,Raffles Lighthouse,29,1.160165N 103.740344E,A,1.160165,103.740344,28,2813
ABB255,Raffles Lighthouse,19,1.160165N 103.740344E,B,1.160165,103.740344,36,7274
ABB256,Semakau,56,1.200136N 103.755956E,B,1.200136,103.755956,25,2919
ABB257,Semakau,42,1.200136N 103.755956E,A,1.200136,103.755956,84,35301
ABB258,Semakau,45,1.200136N 103.755956E,A,1.200136,103.755956,226,19882
ABB259,Semakau,34,1.200136N 103.755956E,B,1.200136,103.755956,32,4865
