,input,filtered,denoisedF,denoisedR,merged,nonchim
ABB216,132303,122304,122062,122222,118898,112979
ABB217,117490,110248,110102,110209,107198,106831
ABB218,136740,127407,127244,127328,123954,122924
ABB219,137182,128316,128280,128281,125158,124963
ABB220,112996,106061,106001,106039,103365,99084
ABB221,135666,123989,123835,123890,121304,115143
ABB222,124683,115370,115289,115239,112552,111479
ABB223,154443,139919,139314,139556,135902,129783
ABB224,83365,76352,76210,76334,74189,71843
ABB225,159523,150608,150471,150578,146533,146190
ABB226,154602,144560,144491,144484,140801,139767
ABB227,140713,129113,128955,129039,125972,125744
ABB228,117621,107423,107168,107289,104255,99007
ABB229,150375,141044,140994,141003,137254,137028
ABB230,149683,137190,136923,137055,134155,133439
ABB231,178421,165764,165554,165723,161622,160998
ABB232,102334,94316,94102,94275,91406,89304
ABB233,132360,123246,123110,123230,120095,118018
ABB234,122748,114811,114699,114745,111820,111467
ABB235,78171,72371,72064,72262,70305,67199
ABB236,130042,118783,118628,118707,115686,115069
ABB237,32951,30495,30484,30462,29764,24112
ABB238,98800,91873,91629,91797,89455,88234
ABB239,137628,127452,127337,127402,124073,113703
ABB240,104393,98213,98111,98196,95472,87424
ABB241,118001,108663,108504,108597,105738,105028
ABB242,157536,143948,143755,143852,140414,138154
ABB243,122334,114145,114009,114122,111167,109971
ABB244,72468,67942,67863,67924,66139,66022
ABB245,119271,110669,110606,110559,107610,103968
ABB246,181245,169288,169164,169234,163959,160037
ABB247,140722,130468,130378,130451,126956,123043
ABB248,80868,73021,72904,72979,70785,70642
ABB249,104396,97479,97404,97447,94687,94591
ABB250,139554,131639,131526,131571,127924,127810
ABB251,114722,107033,106983,106955,103336,103174
ABB252,144296,135009,134765,134951,130896,130343
ABB253,132624,122453,122325,122403,119223,114235
ABB254,99701,92339,92288,92283,90077,90077
ABB255,119060,110153,110038,110129,107226,107192
ABB256,72421,67078,67039,67034,65199,58371
ABB257,70610,64468,64328,64328,62122,61145
ABB258,106665,97035,96669,96849,94394,87826
ABB259,110441,102589,102554,102564,100023,98545
ABB260,96872,89940,89894,89907,87542,87380
ABB261,157261,145989,145664,145845,142152,139688
ABB262,108233,100933,100723,100909,98101,97981
ABB263,103093,95363,95164,95300,93014,91565
ABB264,79335,73018,72935,72958,71141,71050
ABB265,100216,91181,90912,91139,88681,88475
ABB266,115084,103756,103490,103569,100637,99329
ABB267,116276,109528,109474,109479,106503,106442
ABB268,114359,105453,105396,105377,102832,100213
ABB269,119624,111450,111395,111422,108438,108438
ABB270,103208,95536,95481,95470,93389,93389
ABB271,100997,93660,93606,93639,91113,90790
ABB272,82966,76103,76026,76090,74228,72341
ABB273,75950,71272,71246,71261,69355,69324
ABB274,115762,105194,105007,105165,102067,99401
ABB275,119305,111106,111064,111090,108416,103142
ABB276,136054,124833,124561,124717,121132,119538
ABB277,99659,92127,92005,92070,89986,89745
ABB278,135460,122061,121689,121830,117686,96203
ABB279,127722,119057,118984,118986,115836,115705
ABB280,82906,76886,76828,76865,74877,72750
ABB281,96247,85903,85324,85617,82309,80942
ABB282,124164,114747,114630,114708,111811,111530
ABB283,121362,112527,112393,112438,109653,107496
ABB284,118965,110868,110814,110851,107999,107740
ABB285,122046,112940,112677,112875,109905,104107
ABB286,120525,111430,111389,111337,108267,108267
ABB287,148138,128600,128422,128572,125051,122716
ABB288,119552,111638,111543,111607,108566,108259
ABB289,93048,84052,83853,83979,81425,80230
ABB290,124086,110861,110797,110828,107664,107462
ABB291,121255,112736,112669,112706,109714,107165
ABB292,139704,130642,130499,130515,127101,126904
ABB293,107926,101533,101467,101460,98887,97996
